SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,YF_SYMBOL
EKC,Everest Kanto Cylinder Limited,EQ,15-DEC-2005,2,1,INE184H01027,2,EKC.NS
ELDEHSG,Eldeco Housing And Industries Limited,EQ,12-APR-2022,2,1,INE668G01021,2,ELDEHSG.NS
ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,1,1,INE205B01031,1,ELECON.NS
ELECTCAST,Electrosteel Castings Limited,EQ,20-JUN-2003,1,1,INE086A01029,1,ELECTCAST.NS
ELECTHERM,Electrotherm (India) Limited,EQ,20-AUG-2007,10,1,INE822G01016,10,ELECTHERM.NS
ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995,1,1,INE285A01027,1,ELGIEQUIP.NS
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-AUG-2011,1,1,INE819L01012,1,ELGIRUBCO.NS
ELIN,Elin Electronics Limited,EQ,30-DEC-2022,5,1,INE050401020,5,ELIN.NS
ELLEN,Ellenbarrie Industrial Gases Limited,EQ,01-JUL-2025,2,1,INE236E01022,2,ELLEN.NS
EMAMILTD,Emami Limited,EQ,03-AUG-2006,1,1,INE548C01032,1,EMAMILTD.NS
EMAMIPAP,Emami Paper Mills Limited,EQ,30-MAY-2019,2,1,INE830C01026,2,EMAMIPAP.NS
EMAMIREAL,Emami Realty Limited,EQ,28-JUL-2010,2,1,INE778K01012,2,EMAMIREAL.NS
EMBDL,Embassy Developments Limited,EQ,23-MAR-2007,2,1,INE069I01010,2,EMBDL.NS
EMCURE,Emcure Pharmaceuticals Limited,EQ,10-JUL-2024,10,1,INE168P01015,10,EMCURE.NS
EMIL,Electronics Mart India Limited,EQ,17-OCT-2022,10,1,INE02YR01019,10,EMIL.NS
EMKAY,Emkay Global Financial Services Limited,BE,28-APR-2006,10,1,INE296H01011,10,EMKAY.NS
EMMBI,Emmbi Industries Limited,EQ,24-FEB-2010,10,1,INE753K01015,10,EMMBI.NS
EMMVEE,Emmvee Photovoltaic Power Limited,EQ,18-NOV-2025,2,1,INE1C6T01020,2,EMMVEE.NS
EMSLIMITED,EMS Limited,EQ,21-SEP-2023,10,1,INE0OV601013,10,EMSLIMITED.NS
EMUDHRA,eMudhra Limited,EQ,01-JUN-2022,5,1,INE01QM01018,5,EMUDHRA.NS
ENDURANCE,Endurance Technologies Limited,EQ,19-OCT-2016,10,1,INE913H01037,10,ENDURANCE.NS
ENERGYDEV,Energy Development Company Limited,BE,02-NOV-2007,10,1,INE306C01019,10,ENERGYDEV.NS
ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,5,1,INE510A01028,5,ENGINERSIN.NS
ENIL,Entertainment Network (India) Limited,EQ,15-FEB-2006,10,1,INE265F01028,10,ENIL.NS
ENRIN,Siemens Energy India Limited,EQ,19-JUN-2025,2,1,INE1NPP01017,2,ENRIN.NS
ENTERO,Entero Healthcare Solutions Limited,EQ,16-FEB-2024,10,1,INE010601016,10,ENTERO.NS
EPACK,EPACK Durable Limited,EQ,30-JAN-2024,10,1,INE0G5901015,10,EPACK.NS
EPACKPEB,EPack Prefab Technologies Limited,EQ,01-OCT-2025,2,1,INE0MLS01022,2,EPACKPEB.NS
EPIGRAL,Epigral Limited,EQ,18-AUG-2021,10,1,INE071N01016,10,EPIGRAL.NS
EPL,EPL Limited,EQ,11-FEB-2002,2,1,INE255A01020,2,EPL.NS
EQUIPPP,Equippp Social Impact Technologies Limited,BE,19-MAY-2021,1,1,INE217G01035,1,EQUIPPP.NS
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-NOV-2020,10,1,INE063P01018,10,EQUITASBNK.NS
ERIS,Eris Lifesciences Limited,EQ,29-JUN-2017,1,1,INE406M01024,1,ERIS.NS
ESABINDIA,Esab India Limited,EQ,01-NOV-1995,10,1,INE284A01012,10,ESABINDIA.NS
ESAFSFB,ESAF Small Finance Bank Limited,EQ,10-NOV-2023,10,1,INE818W01011,10,ESAFSFB.NS
ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995,10,1,INE042A01014,10,ESCORTS.NS
ESSARSHPNG,Essar Shipping Limited,BE,15-NOV-2011,10,1,INE122M01019,10,ESSARSHPNG.NS
ESSENTIA,Integra Essentia Limited,EQ,20-AUG-2013,1,1,INE418N01035,1,ESSENTIA.NS
ESTER,Ester Industries Limited,EQ,20-JUN-2011,5,1,INE778B01029,5,ESTER.NS
ETERNAL,ETERNAL LIMITED,EQ,23-JUL-2021,1,1,INE758T01015,1,ETERNAL.NS
ETHOSLTD,Ethos Limited,EQ,30-MAY-2022,10,1,INE04TZ01018,10,ETHOSLTD.NS
EUREKAFORB,Eureka Forbes Limited,EQ,11-SEP-2024,10,1,INE0KCE01017,10,EUREKAFORB.NS
EUROBOND,Euro Panel Products Limited,EQ,01-AUG-2025,10,1,INE505V01016,10,EUROBOND.NS
EUROPRATIK,Euro Pratik Sales Limited,EQ,23-SEP-2025,1,1,INE198501012,1,EUROPRATIK.NS
EUROTEXIND,Eurotex Industries and Exports Limited,BE,31-JAN-1996,10,1,INE022C01012,10,EUROTEXIND.NS
EVEREADY,Eveready Industries India Limited,EQ,27-APR-2005,5,1,INE128A01029,5,EVEREADY.NS
EVERESTIND,Everest Industries Limited,EQ,29-MAR-1995,10,1,INE295A01018,10,EVERESTIND.NS
EXCEL,Excel Realty N Infra Limited,EQ,03-AUG-2009,1,1,INE688J01023,1,EXCEL.NS
EXCELINDUS,Excel Industries Limited,EQ,16-JUN-2004,5,1,INE369A01029,5,EXCELINDUS.NS
EXCELSOFT,Excelsoft Technologies Limited,EQ,26-NOV-2025,10,1,INE606N01019,10,EXCELSOFT.NS
EXICOM,Exicom Tele-Systems Limited,EQ,05-MAR-2024,10,1,INE777F01014,10,EXICOM.NS
EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003,1,1,INE302A01020,1,EXIDEIND.NS
EXPLEOSOL,Expleo Solutions Limited,EQ,26-OCT-2009,10,1,INE201K01015,10,EXPLEOSOL.NS
EXXARO,Exxaro Tiles Limited,BE,16-AUG-2021,1,1,INE0GFE01026,1,EXXARO.NS
FABTECH,Fabtech Technologies Limited,EQ,07-OCT-2025,10,1,INE0HF201011,10,FABTECH.NS
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10,1,INE188A01015,10,FACT.NS
FAIRCHEMOR,Fairchem Organics Limited,EQ,24-DEC-2020,10,1,INE0DNW01011,10,FAIRCHEMOR.NS
FAZE3Q,Faze Three Limited,EQ,18-NOV-2022,10,1,INE963C01033,10,FAZE3Q.NS
FCL,Fineotex Chemical Limited,EQ,15-JAN-2015,1,1,INE045J01034,1,FCL.NS
FCSSOFT,FCS Software Solutions Limited,EQ,21-SEP-2005,1,1,INE512B01022,1,FCSSOFT.NS
FDC,FDC Limited,EQ,07-AUG-1997,1,1,INE258B01022,1,FDC.NS
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2,1,INE171A01029,2,FEDERALBNK.NS
FEDFINA,Fedbank Financial Services Limited,EQ,30-NOV-2023,10,1,INE007N01010,10,FEDFINA.NS
FEL,Future Enterprises Limited,BZ,05-NOV-2001,2,1,INE623B01027,2,FEL.NS
FELDVR,Future Enterprises Limited,BZ,13-FEB-2009,2,1,IN9623B01058,2,FELDVR.NS
FIBERWEB,Fiberweb (India) Limited,EQ,16-FEB-2022,10,1,INE296C01020,10,FIBERWEB.NS
FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006,10,1,INE737H01014,10,FIEMIND.NS
FILATEX,Filatex India Limited,EQ,29-AUG-2011,1,1,INE816B01035,1,FILATEX.NS
FILATFASH,Filatex Fashions Limited,EQ,06-MAY-2024,1,1,INE185E01021,1,FILATFASH.NS
FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2,1,INE235A01022,2,FINCABLES.NS
FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018,5,1,INE686Y01026,5,FINEORG.NS
FINKURVE,Finkurve Financial Services Limited,EQ,01-OCT-2025,1,1,INE734I01027,1,FINKURVE.NS
FINOPB,Fino Payments Bank Limited,EQ,12-NOV-2021,10,1,INE02NC01014,10,FINOPB.NS
FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,2,1,INE183A01024,2,FINPIPE.NS
FIRSTCRY,Brainbees Solutions Limited,EQ,13-AUG-2024,2,1,INE02RE01045,2,FIRSTCRY.NS
FISCHER,Fischer Medical Ventures Limited,EQ,10-JUL-2025,1,1,INE771F01041,1,FISCHER.NS
FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022,1,1,INE128S01021,1,FIVESTAR.NS
FLAIR,Flair Writing Industries Limited,EQ,01-DEC-2023,5,1,INE00Y201027,5,FLAIR.NS
FLEXITUFF,Flexituff Ventures International Limited,EQ,19-OCT-2011,10,1,INE060J01017,10,FLEXITUFF.NS
FLFL,Future Lifestyle Fashions Limited,BZ,01-OCT-2013,2,1,INE452O01016,2,FLFL.NS
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,1,1,INE09N301011,1,FLUOROCHEM.NS
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10,1,INE529A01010,10,FMGOETZE.NS
FMNL,Future Market Networks Limited,EQ,31-DEC-2010,10,1,INE360L01017,10,FMNL.NS
FOCUS,Focus Lighting and Fixtures Limited,EQ,24-NOV-2021,2,1,INE593W01028,2,FOCUS.NS
FOODSIN,Foods & Inns Limited,EQ,16-NOV-2021,1,1,INE976E01023,1,FOODSIN.NS
FORCEMOT,FORCE MOTORS LTD,EQ,14-FEB-2024,10,1,INE451A01017,10,FORCEMOT.NS
FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10,1,INE061F01013,10,FORTIS.NS
FOSECOIND,Foseco India Limited,EQ,05-MAY-2003,10,1,INE519A01011,10,FOSECOIND.NS
FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10,1,INE684F01012,10,FSL.NS
FUSION,Fusion Finance Limited,EQ,15-NOV-2022,10,1,INE139R01012,10,FUSION.NS
GABRIEL,Gabriel India Limited,EQ,20-APR-2005,1,1,INE524A01029,1,GABRIEL.NS
GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,1,1,INE036B01030,1,GAEL.NS
GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10,GAIL.NS
GALAPREC,Gala Precision Engineering Limited,EQ,09-SEP-2024,10,1,INE0RE001014,10,GALAPREC.NS
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-FEB-2018,10,1,INE600K01018,10,GALAXYSURF.NS
GALLANTT,Gallantt Ispat Limited,EQ,04-APR-2006,10,1,INE297H01019,10,GALLANTT.NS
GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,30-NOV-2023,2,1,INE717W01049,2,GANDHAR.NS
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,5,1,INE524B01027,5,GANDHITUBE.NS
GANECOS,Ganesha Ecosphere Limited,EQ,09-MAR-2015,10,1,INE845D01014,10,GANECOS.NS
GANESHBE,Ganesh Benzoplast Limited,EQ,16-SEP-2021,1,1,INE388A01029,1,GANESHBE.NS
GANESHCP,Ganesh Consumer Products Limited,EQ,29-SEP-2025,10,1,INE652V01016,10,GANESHCP.NS
GANESHHOU,GANESH HOUSING LIMITED,EQ,02-MAR-2007,10,1,INE460C01014,10,GANESHHOU.NS
GANGAFORGE,Ganga Forging Limited,EQ,06-JUL-2021,1,1,INE691Z01023,1,GANGAFORGE.NS
GANGESSECU,Ganges Securities Limited,EQ,28-JUL-2017,10,1,INE335W01016,10,GANGESSECU.NS
GARFIBRES,Garware Technical Fibres Limited,EQ,03-APR-2007,10,1,INE276A01018,10,GARFIBRES.NS
GARUDA,Garuda Construction and Engineering Limited,EQ,15-OCT-2024,5,1,INE0JVO01026,5,GARUDA.NS
GATECH,GACM Technologies Limited,EQ,25-JUL-2016,1,1,INE224E01028,1,GATECH.NS
GATECHDVR,GACM Technologies Limited,EQ,10-OCT-2017,1,1,INE224E01036,1,GATECHDVR.NS
GATEWAY,Gateway Distriparks Limited,EQ,22-MAR-2022,10,1,INE079J01017,10,GATEWAY.NS
GAYAHWS,Gayatri Highways Limited,BE,28-JUN-2018,2,1,INE287Z01012,2,GAYAHWS.NS
GCSL,Gretex Corporate Services Limited,BE,04-SEP-2025,10,1,INE199P01028,10,GCSL.NS
GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,10,1,INE916G01016,10,GEECEE.NS
GEEKAYWIRE,Geekay Wires Limited,EQ,06-MAR-2020,1,1,INE669X01032,1,GEEKAYWIRE.NS
GEMAROMA,Gem Aromatics Limited,EQ,26-AUG-2025,2,1,INE06XZ01023,2,GEMAROMA.NS
GENCON,Generic Engineering Construction and Projects Limited,EQ,16-FEB-2021,5,1,INE854S01022,5,GENCON.NS
GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,5,1,INE727B01026,5,GENESYS.NS
GENSOL,Gensol Engineering Limited,BZ,03-JUL-2023,10,1,INE06H201014,10,GENSOL.NS
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015,1,1,INE949P01018,1,GENUSPAPER.NS
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-JUL-2005,1,1,INE955D01029,1,GENUSPOWER.NS
GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1,1,INE007B01023,1,GEOJITFSL.NS
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10,1,INE017A01032,10,GESHIP.NS
GFLLIMITED,GFL Limited,EQ,25-MAY-1995,1,1,INE538A01037,1,GFLLIMITED.NS
GHCL,GHCL Limited,EQ,31-JUL-2003,10,1,INE539A01019,10,GHCL.NS
GHCLTEXTIL,GHCL Textiles Limited,EQ,12-JUN-2023,2,1,INE0PA801013,2,GHCLTEXTIL.NS
GICHSGFIN,GIC Housing Finance Limited,EQ,08-MAY-1996,10,1,INE289B01019,10,GICHSGFIN.NS
GICRE,General Insurance Corporation of India,EQ,25-OCT-2017,5,1,INE481Y01014,5,GICRE.NS
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,14-DEC-2009,10,1,INE047B01011,10,GILLANDERS.NS
GILLETTE,Gillette India Limited,EQ,30-JUL-2003,10,1,INE322A01010,10,GILLETTE.NS
GINNIFILA,Ginni Filaments Limited,EQ,10-MAY-1995,10,1,INE424C01010,10,GINNIFILA.NS
GIPCL,Gujarat Industries Power Company Limited,EQ,08-FEB-1995,10,1,INE162A01010,10,GIPCL.NS
GKENERGY,GK Energy Limited,EQ,26-SEP-2025,2,1,INE1AG301022,2,GKENERGY.NS
GKWLIMITED,GKW Limited,EQ,20-JUL-2009,10,1,INE528A01020,10,GKWLIMITED.NS
GLAND,Gland Pharma Limited,EQ,20-NOV-2020,1,1,INE068V01023,1,GLAND.NS
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,10,1,INE159A01016,10,GLAXO.NS
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1,1,INE935A01035,1,GLENMARK.NS
GLFL,Gujarat Lease Financing Limited,BE,08-FEB-1995,10,1,INE540A01017,10,GLFL.NS
GLOBAL,Global Education Limited,BE,07-DEC-2020,2,1,INE291W01037,2,GLOBAL.NS
GLOBALE,Globale Tessile Limited,EQ,27-AUG-2024,10,1,INE0URU01010,10,GLOBALE.NS
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-OCT-2006,10,1,INE792H01019,10,GLOBALVECT.NS
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,07-OCT-2020,2,1,INE581X01021,2,GLOBE.NS
GLOBECIVIL,Globe Civil Projects Limited,EQ,01-JUL-2025,10,1,INE0V3U01015,10,GLOBECIVIL.NS
GLOBUSSPR,Globus Spirits Limited,EQ,23-SEP-2009,10,1,INE615I01010,10,GLOBUSSPR.NS
GLOSTERLTD,Gloster Limited,EQ,26-APR-2024,10,1,INE350Z01018,10,GLOSTERLTD.NS
GLOTTIS,Glottis Limited,EQ,07-OCT-2025,2,1,INE0TQE01026,2,GLOTTIS.NS
GMBREW,GM Breweries Limited,EQ,23-AUG-1995,10,1,INE075D01018,10,GMBREW.NS
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997,2,1,INE131A01031,2,GMDCLTD.NS
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-MAR-2018,2,1,INE541A01023,2,GMMPFAUDLR.NS
GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,21-AUG-2006,1,1,INE776C01039,1,GMRAIRPORT.NS
GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-MAR-2022,5,1,INE0CU601026,5,GMRP&UI.NS
GNA,GNA Axles Limited,EQ,26-SEP-2016,10,1,INE934S01014,10,GNA.NS
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,10,1,INE113A01013,10,GNFC.NS
GOACARBON,Goa Carbon Limited,EQ,05-JUN-2007,10,1,INE426D01013,10,GOACARBON.NS
GOCLCORP,GOCL Corporation Limited,EQ,26-JUN-2014,2,1,INE077F01035,2,GOCLCORP.NS
GOCOLORS,Go Fashion (India) Limited,EQ,30-NOV-2021,10,1,INE0BJS01011,10,GOCOLORS.NS
GODAVARIB,Godavari Biorefineries Limited,EQ,30-OCT-2024,10,1,INE497S01012,10,GODAVARIB.NS
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-JUL-1996,2,1,INE260B01028,2,GODFRYPHLP.NS
GODIGIT,Go Digit General Insurance Limited,EQ,23-MAY-2024,10,1,INE03JT01014,10,GODIGIT.NS
GODREJAGRO,Godrej Agrovet Limited,EQ,16-OCT-2017,10,1,INE850D01014,10,GODREJAGRO.NS
GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001,1,1,INE102D01028,1,GODREJCP.NS
GODREJIND,Godrej Industries Limited,EQ,25-FEB-2003,1,1,INE233A01035,1,GODREJIND.NS
GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010,5,1,INE484J01027,5,GODREJPROP.NS
GOENKA,Goenka Diamond and Jewels Limited,BZ,16-APR-2010,1,1,INE516K01024,1,GOENKA.NS
GOKEX,Gokaldas Exports Limited,EQ,27-APR-2005,5,1,INE887G01027,5,GOKEX.NS
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-JUN-2008,2,1,INE020J01029,2,GOKUL.NS
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-MAR-2016,1,1,INE314T01033,1,GOKULAGRO.NS
GOLDENTOBC,Golden Tobacco Limited,BZ,08-FEB-1995,10,1,INE973A01010,10,GOLDENTOBC.NS
GOLDIAM,Goldiam International Limited,EQ,29-AUG-2005,2,1,INE025B01025,2,GOLDIAM.NS
GOLDTECH,AION-TECH SOLUTIONS LIMITED,EQ,11-APR-2001,10,1,INE805A01014,10,GOLDTECH.NS
GOODLUCK,Goodluck India Limited,EQ,08-JAN-2015,2,1,INE127I01024,2,GOODLUCK.NS
GOPAL,Gopal Snacks Limited,EQ,14-MAR-2024,1,1,INE0L9R01028,1,GOPAL.NS
GOYALALUM,Goyal Aluminiums Limited,EQ,04-NOV-2022,1,1,INE705X01026,1,GOYALALUM.NS
GPIL,Godawari Power And Ispat limited,EQ,25-APR-2006,1,1,INE177H01039,1,GPIL.NS
GPPL,Gujarat Pipavav Port Limited,EQ,09-SEP-2010,10,1,INE517F01014,10,GPPL.NS
GPTHEALTH,GPT Healthcare Limited,EQ,29-FEB-2024,10,1,INE486R01017,10,GPTHEALTH.NS
GPTINFRA,GPT Infraprojects Limited,EQ,11-JUL-2016,10,1,INE390G01014,10,GPTINFRA.NS
GRANULES,Granules India Limited,EQ,20-JUN-2005,1,1,INE101D01020,1,GRANULES.NS
GRAPHITE,Graphite India Limited,EQ,07-FEB-2003,2,1,INE371A01025,2,GRAPHITE.NS
GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,2,1,INE047A01021,2,GRASIM.NS
GRAVITA,Gravita India Limited,EQ,16-NOV-2010,2,1,INE024L01027,2,GRAVITA.NS
GREAVESCOT,Greaves Cotton Limited,EQ,09-SEP-2004,2,1,INE224A01026,2,GREAVESCOT.NS
GREENLAM,Greenlam Industries Limited,EQ,02-MAR-2015,1,1,INE544R01021,1,GREENLAM.NS
GREENPANEL,Greenpanel Industries Limited,EQ,23-OCT-2019,1,1,INE08ZM01014,1,GREENPANEL.NS
GREENPLY,Greenply Industries Limited,EQ,06-MAR-1996,1,1,INE461C01038,1,GREENPLY.NS
GREENPOWER,Orient Green Power Company Limited,EQ,08-OCT-2010,10,1,INE999K01014,10,GREENPOWER.NS
GRINDWELL,Grindwell Norton Limited,EQ,11-SEP-2006,5,1,INE536A01023,5,GRINDWELL.NS
GRINFRA,G R Infraprojects Limited,EQ,19-JUL-2021,5,1,INE201P01022,5,GRINFRA.NS
GRMOVER,GRM Overseas Limited,EQ,07-SEP-2022,2,1,INE192H01020,2,GRMOVER.NS
GROBTEA,The Grob Tea Company Limited,EQ,14-JUL-2016,10,1,INE646C01018,10,GROBTEA.NS
GROWW,Billionbrains Garage Ventures Limited,EQ,12-NOV-2025,2,1,INE0HOQ01053,2,GROWW.NS
GRPLTD,GRP Limited,EQ,12-FEB-2015,10,1,INE137I01015,10,GRPLTD.NS
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-OCT-2018,10,1,INE382Z01011,10,GRSE.NS
GRWRHITECH,Garware Hi-Tech Films Limited,EQ,03-FEB-2022,10,1,INE291A01017,10,GRWRHITECH.NS
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-SEP-1995,2,1,INE026A01025,2,GSFC.NS
GSLSU,Global Surfaces Limited,BE,23-MAR-2023,10,1,INE0JSX01015,10,GSLSU.NS
GSPL,Gujarat State Petronet Limited,EQ,16-FEB-2006,10,1,INE246F01010,10,GSPL.NS
GSS,GSS Infotech Limited,EQ,07-MAR-2008,10,1,INE871H01011,10,GSS.NS
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,EQ,13-NOV-2020,10,1,INE586X01012,10,GTECJAINX.NS
GTL,GTL Limited,EQ,29-MAR-1995,10,1,INE043A01012,10,GTL.NS
GTLINFRA,GTL Infrastructure Limited,EQ,09-NOV-2006,10,1,INE221H01019,10,GTLINFRA.NS
GTPL,GTPL Hathway Limited,EQ,04-JUL-2017,10,1,INE869I01013,10,GTPL.NS
GUFICBIO,Gufic Biosciences Limited,EQ,19-OCT-2004,1,1,INE742B01025,1,GUFICBIO.NS
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-AUG-1997,10,1,INE186A01019,10,GUJALKALI.NS
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,04-JUN-2007,10,1,INE826C01016,10,GUJAPOLLO.NS
GUJGASLTD,Gujarat Gas Limited,EQ,15-SEP-2015,2,1,INE844O01030,2,GUJGASLTD.NS
GUJRAFFIA,Gujarat Raffia Industries Limited,BE,09-OCT-1996,10,1,INE610B01024,10,GUJRAFFIA.NS
GUJTHEM,Gujarat Themis Biosyn Limited,EQ,25-FEB-2025,1,1,INE942C01045,1,GUJTHEM.NS
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-JUL-2014,2,1,INE635Q01029,2,GULFOILLUB.NS
GULFPETRO,GP Petroleums Limited,EQ,24-SEP-2004,5,1,INE586G01017,5,GULFPETRO.NS
GULPOLY,Gulshan Polyols Limited,EQ,28-JAN-2015,1,1,INE255D01024,1,GULPOLY.NS
GVKPIL,GVK Power & Infrastructure Limited,BE,27-FEB-2006,1,1,INE251H01024,1,GVKPIL.NS
GVPIL,GE Power India Limited,EQ,19-APR-2000,10,1,INE878A01011,10,GVPIL.NS
GVPTECH,GVP Infotech Limited,EQ,06-SEP-2022,2,1,INE382T01030,2,GVPTECH.NS
GVT&D,GE Vernova T&D India Limited,EQ,30-JUN-2008,2,1,INE200A01026,2,GVT&D.NS
HAL,Hindustan Aeronautics Limited,EQ,28-MAR-2018,5,1,INE066F01020,5,HAL.NS
HALEOSLABS,HALEOS LABS LIMITED,BE,17-AUG-2017,10,1,INE320X01016,10,HALEOSLABS.NS
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-SEP-2020,2,1,INE419U01012,2,HAPPSTMNDS.NS
HAPPYFORGE,Happy Forgings Limited,EQ,27-DEC-2023,2,1,INE330T01021,2,HAPPYFORGE.NS
HARDWYN,Hardwyn India Limited,EQ,12-APR-2022,1,1,INE626Z01029,1,HARDWYN.NS
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-APR-2022,10,1,INE00EV01017,10,HARIOMPIPE.NS
HARRMALAYA,Harrisons  Malayalam Limited,EQ,08-FEB-1995,10,1,INE544A01019,10,HARRMALAYA.NS
HARSHA,Harsha Engineers International Limited,EQ,26-SEP-2022,10,1,INE0JUS01029,10,HARSHA.NS
HATHWAY,Hathway Cable & Datacom Limited,EQ,25-FEB-2010,2,1,INE982F01036,2,HATHWAY.NS
HATSUN,Hatsun Agro Product Limited,EQ,20-JUN-2014,1,1,INE473B01035,1,HATSUN.NS
HAVELLS,Havells India Limited,EQ,21-MAR-2001,1,1,INE176B01034,1,HAVELLS.NS
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,EQ,16-FEB-2000,2,1,INE293B01029,2,HAVISHA.NS
HBLENGINE,HBL Engineering Limited,EQ,04-JAN-2007,1,1,INE292B01021,1,HBLENGINE.NS
HBSL,HB Stockholdings Limited,BE,23-JUL-2018,10,1,INE550B01022,10,HBSL.NS
HCC,Hindustan Construction Company Limited,EQ,01-APR-2003,1,1,INE549A01026,1,HCC.NS
HCG,Healthcare Global Enterprises Limited,EQ,30-MAR-2016,10,1,INE075I01017,10,HCG.NS
HCL-INSYS,HCL Infosystems Limited,EQ,01-JAN-1997,2,1,INE236A01020,2,HCL-INSYS.NS
HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000,2,1,INE860A01027,2,HCLTECH.NS
HDBFS,HDB Financial Services Limited,EQ,02-JUL-2025,10,1,INE756I01012,10,HDBFS.NS
HDFCAMC,HDFC Asset Management Company Limited,EQ,06-AUG-2018,5,1,INE127D01025,5,HDFCAMC.NS
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,1,1,INE040A01034,1,HDFCBANK.NS
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-NOV-2017,10,1,INE795G01014,10,HDFCLIFE.NS
HDIL,Housing Development and Infrastructure Limited,BZ,24-JUL-2007,10,1,INE191I01012,10,HDIL.NS
HEADSUP,Heads UP Ventures Limited,EQ,14-DEC-2016,10,1,INE759V01019,10,HEADSUP.NS
HECPROJECT,HEC Infra Projects Limited,EQ,30-DEC-2021,10,1,INE558R01013,10,HECPROJECT.NS
HEG,HEG Limited,EQ,10-MAY-1995,2,1,INE545A01024,2,HEG.NS
HEIDELBERG,HeidelbergCement India Limited,EQ,15-MAR-1995,10,1,INE578A01017,10,HEIDELBERG.NS
HEMIPROP,Hemisphere Properties India Limited,EQ,22-OCT-2020,10,1,INE0AJG01018,10,HEMIPROP.NS
HERANBA,Heranba Industries Limited,EQ,05-MAR-2021,10,1,INE694N01015,10,HERANBA.NS
HERCULES,HERCULES INVESTMENTS LIMITED,EQ,19-FEB-2008,1,1,INE688E01024,1,HERCULES.NS
HERITGFOOD,Heritage Foods Limited,EQ,27-NOV-1996,5,1,INE978A01027,5,HERITGFOOD.NS
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-APR-2003,2,1,INE158A01026,2,HEROMOTOCO.NS
